Unnamed: 0,company_name,company_id,url,vertical,missing_vertical,vert_code,vert_desc,company_name_short,is_small_name
53,23W LIMITED,SC396836,http://www.23w-accountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,23w,1
297,AARON ANDERSON & MCKINSEY LIMITED,02976743,http://www.aamtax.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,aaron anderson & mckinsey,0
301,AAS ACCOUNTANTS LTD,02513977,http://www.aas-accountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,aas accountants,0
315,ABASUS ACCOUNTING LIMITED,07259747,http://www.abasus-accounting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,abasus accounting,0
440,ACCORDIA (SERVICES) LIMITED,07523464,http://www.accordia.co.nz,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,accordia (services),0
441,ACCOUNTANCY & BUSINESS MATTERS LIMITED,05228825,http://www.aandbmatters.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,accountancy & business matters,0
442,ACCOUNTANCY CONSULTANTS EAST LIMITED,04966938,http://www.accountancyconsultants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,accountancy consultants east,0
444,ACCOUNTANT@WORK LTD,08582896,http://www.accountantatwork.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,accountant@work,0
445,ACCOUNTANTS WITH A DIFFERENCE LTD,05657295,http://www.accountantswithadifference.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,accountants with a difference,0
446,ACCOUNTING EQUATIONS LTD,04407017,http://www.accountingequations.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,accounting equations,0
448,ACCOUNTING INNOVATIONS LIMITED,05655371,http://www.accounting-innovations.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,accounting innovations,0
449,ACCOUNTING OFFICE OMEGA LTD,08744436,http://www.accounting-omega.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,accounting office omega,0
482,ACHIEVA LIMITED,03225092,http://www.achievacu.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,achieva,0
515,ACS ACCOUNTS SERVICES LTD,08837049,http://www.acsaccounts.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,acs accounts services,0
546,ACUMEN BUSINESS LAW LIMITED,06495150,http://www.acumenbusinesslaw.co.uk,69102 - Solicitors,0,69102.0,solicitors,acumen business law,0
557,ADAM BRUCELY CERTIFIED ACCOUNTANTS & TAX CONSULTANTS LTD,04098196,http://www.adambrucely.co.uk,69203 - Tax consultancy,0,69203.0,tax consultancy,adam brucely certified accountants & tax consultants,0
568,ADAMS BEENY LIMITED,05934191,http://www.adamsbeeny.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,adams beeny,0
588,ADD-ITIONS ACCOUNTANCY SOLUTIONS LIMITED,06689114,http://www.add-itions.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,add-itions accountancy solutions,0
619,ADP ASSOCIATES LIMITED,03073433,http://www.adpassociates.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,adp associates,0
678,ADVOKATAI LTD,07903573,http://www.advokatai.co.uk,69102 - Solicitors,0,69102.0,solicitors,advokatai,0
823,AIRY LIMITED,08444264,http://www.airyfiltration.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,airy,0
928,ALEX HARLE ADVISORY LIMITED,07229848,http://www.harlelegal.com,69102 - Solicitors,0,69102.0,solicitors,alex harle advisory,0
937,ALEXANDER ROSSE LIMITED,06726361,http://www.alexanderrosse.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,alexander rosse,0
959,ALISON HURRELL LIMITED,06717149,http://www.alisonhurrell.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,alison hurrell,0
970,ALL FIGURED OUT LIMITED,07557481,http://www.allfiguredoutbookkeeping.ca,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,all figured out,0
997,ALLEN TAX CONSULTANCY LTD,08392579,http://www.allenconsultancy.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,allen tax consultancy,0
1192,AMT BUSINESS (NORTHUMBRIA) LIMITED,05200131,http://www.amtbusiness.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,amt business (northumbria),0
1238,ANDREW LILLINGSTON LIMITED,08032413,http://www.andrewlillingston.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,andrew lillingston,0
1246,ANDREWS ORME & HINTON LIMITED,04389026,http://www.aohaccountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,andrews orme & hinton,0
1247,ANDREWS RITSON LIMITED,06976093,http://www.andrewsritson.co.uk,69102 - Solicitors,0,69102.0,solicitors,andrews ritson,0
1261,ANGELI LEGAL SERVICES LTD,08953528,http://www.angeli.com.sg,69102 - Solicitors,0,69102.0,solicitors,angeli legal services,0
1312,ANSONG ASSOCIATES LIMITED,07477333,http://www.ansong-associates.co.uk,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,ansong associates,0
1519,ARLEYS LIMITED,08731002,http://www.arleys.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,arleys,0
1603,ASCENDIS BUSINESS SERVICES LTD,05291822,http://www.ascendis.com.au,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,ascendis business services,0
1610,ASCROFT WHITESIDE LIMITED,07194642,http://www.ascroftwhiteside.co.uk,69102 - Solicitors,0,69102.0,solicitors,ascroft whiteside,0
1654,ASHTONS BUSINESS RECOVERY LTD,06132474,http://www.ashtonsrecovery.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,ashtons business recovery,0
1734,ASVSH ACCOUNTANCY SERVICES LIMITED,05121571,http://www.asvsh.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,asvsh accountancy services,0
1737,ASYLUM JUSTICE,05447875,http://www.asylumjustice.org.uk,69102 - Solicitors,0,69102.0,solicitors,asylum justice,0
1781,ATTICUS BUSINESS LAW LIMITED,08075682,http://www.atticusbusinesslaw.co.uk,69102 - Solicitors,0,69102.0,solicitors,atticus business law,0
1785,ATTS LIMITED,04471595,http://www.atts.org.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,atts,0
1798,AUGENTIUS DEPOSITARY COMPANY LIMITED,05830789,http://www.augentiusdepositary.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,augentius depositary company,0
1856,AUXILLIUS EXCELSIS LTD,07969354,http://www.auxillius-excelsis.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,auxillius excelsis,0
1949,AZMI-RANA SOLICITORS LIMITED,06693473,http://www.azmirana.com,69102 - Solicitors,0,69102.0,solicitors,azmi-rana solicitors,0
1967,B.C. BYRNE & CO LIMITED,04467070,http://www.bcbyrneandco.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,b.c. byrne & co,0
2008,BAILLIE SPOWART LTD,SC371201,http://www.bailliespowartsolicitors.co.uk,69102 - Solicitors,0,69102.0,solicitors,baillie spowart,0
2017,BAKER STREET ACCOUNTING LTD,07370878,http://www.bkrstaccounting.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,baker street accounting,0
2037,BALLANTYNE GRANT ( SOLICITORS ) LIMITED,07348788,http://www.bglegal.co.uk,69102 - Solicitors,0,69102.0,solicitors,ballantyne grant ( solicitors ),0
