index,word,count
30104,home,549867
3823,post,370265
4082,march,369972
5450,older,360891
25782,twitter,351662
39556,may,350479
41710,news,347970
42905,new,347620
26146,june,317428
1951,august,315427
47231,us,303407
30639,view,302176
14562,contact,256819
41924,day,252952
40437,life,251048
10885,business,232107
28747,comment,230144
47831,share,224407
32084,profile,215935
1950,free,215066
25648,big,212091
3956,time,202279
13527,food,191176
27207,national,187946
6480,public,187027
14924,center,182602
35329,science,175682
38909,law,175442
34881,living,175210
31326,work,174137
28928,complete,168353
5199,politics,167024
25850,links,165920
22851,school,165690
45738,live,165050
35376,policy,164612
15521,world,164573
15684,daily,160837
20754,international,160648
4770,privacy,159811
40113,history,158387
46695,health,158254
2899,political,156845
18017,one,155598
9405,community,155108
23133,art,152988
3361,review,150363
17535,magazine,150322
26889,education,147943
867,report,146935
33930,good,146539
9929,atom,143786
41715,last,142418
21080,get,141360
49466,media,141334
3624,service,141156
24769,book,139660
28136,local,138557
45851,social,137830
48430,house,136213
34400,show,136136
13698,state,135889
11885,club,135744
3865,government,135277
4732,small,134754
4085,today,134348
49424,man,132616
30142,family,132551
42128,project,132468
39580,use,132468
45925,city,131926
45820,first,131904
46115,like,130078
6237,music,128658
47693,sports,127655
15788,summer,127090
34989,best,125929
1940,page,125626
28194,high,125283
12254,group,123906
31837,bad,123618
45363,personal,123218
30318,care,118512
17403,hot,118342
5880,help,118011
40008,technology,117719
48799,back,117488
34715,people,116834
9749,love,114440
34984,data,114013
29295,video,112709
19293,de,112599
30891,black,111811
18575,money,111674
5383,real,111479
6633,legal,111199
14881,support,111024
29697,green,110663
48913,great,110646
20896,kitchen,110493
26511,aging,110325
36377,oil,109820
32245,times,108895
36206,travel,108776
1336,happy,108771
44311,little,108558
48008,society,108347
6432,watch,106081
15287,old,106053
48130,red,105012
43184,research,104817
33110,top,104717
24599,election,104237
38314,entertainment,104150
31591,pet,104021
21204,freedom,102741
49545,program,102250
9744,information,101993
9984,holiday,101666
8275,press,101418
39398,york,101121
4402,network,100797
27593,go,100792
2107,search,100787
30854,game,100596
34221,brain,100368
4230,white,98381
27555,change,98034
32951,institute,97871
6704,open,97674
39528,calendar,97284
6705,team,97166
25733,bill,97017
25025,company,96905
48201,meet,96846
9880,religion,96330
5708,auto,96270
23790,night,95354
20726,site,94978
15120,advertise,94873
10659,right,94805
33654,healthy,94744
11830,two,94230
26122,design,93257
36756,dog,92888
41741,general,91090
32763,la,90954
5269,map,90928
12463,finance,90696
23404,mark,90675
28641,log,90300
29503,light,89781
32658,read,89721
30516,weather,89631
24031,bear,89587
46887,year,89214
46547,another,89042
39693,week,88995
40490,guide,88629
46536,advertising,88491
46690,market,88461
11365,global,88020
48007,race,87769
30682,interactive,87323
1906,tour,87218
26854,security,87185
29339,update,86877
47882,make,86742
40126,control,86661
37718,making,86566
24094,side,85688
31850,court,85526
17582,blue,85207
43747,learn,85152
27871,next,85027
24470,speech,84955
33758,tax,84304
30205,journal,83994
7711,take,83656
6394,see,83553
46462,click,83529
33325,association,83414
16721,north,83321
10173,medical,82993
13037,job,82926
44030,radio,82658
15869,nation,82418
23405,party,82156
6910,follow,82076
28348,talking,81955
44314,united,81808
37457,list,81427
38309,cost,81277
32654,part,81253
34100,story,81154
37872,start,81024
26726,language,80381
24231,financial,80255
3231,style,79959
48342,debate,79042
25839,dark,78471
47440,foundation,78323
38411,weird,78297
30288,street,77929
1735,x,77311
2910,rod,77247
8709,web,76939
22482,gender,76724
11198,need,76680
47669,schedule,76363
23912,dirty,76218
31945,power,75677
38529,know,75121
27525,analysis,74842
39303,case,74596
47070,ask,74463
15154,talk,74423
45891,peter,74396
15692,south,74278
12580,culture,73887
9276,office,73732
31638,conspiracy,73621
861,human,72847
20071,zone,72499
25040,sleep,72375
34902,justice,72345
47569,insurance,72199
1918,hunger,71910
49020,development,71879
19696,past,71767
7678,full,71657
16388,war,71588
10176,double,71553
30464,storm,71376
