pages_crawled,total_reward,terminal_states,nn_loss
1,1,1,0.49900689721107483
2,1,1,5.097234065942757e-07
3,1,1,0.006822945084422827
4,1,1,0.03257864713668823
5,1,1,0.007522114086896181
6,1,1,4.47806978225708
7,1,1,26.834035873413086
8,1,1,0.8477939367294312
9,1,1,1.191749930381775
10,1,1,0.50672847032547
11,1,1,0.35761627554893494
12,1,1,0.0011868715519085526
13,1,1,2.2595668269786984e-05
14,1,1,7.492038275813684e-05
15,1,1,0.008732080459594727
16,1,1,0.0017109118634834886
17,1,1,8.29820055514574e-05
18,1,1,0.0001304061006521806
19,1,1,7.959431241033599e-05
20,1,1,3.581650526029989e-05
21,1,1,1.4584557902708184e-05
22,1,1,1.3921974684194538e-08
23,1,1,5.887379188607156e-07
24,1,1,5.692618820773987e-09
25,1,1,5.336740827033282e-09
26,1,1,5.111424172810075e-09
27,1,1,4.91032992044893e-09
28,1,2,4.7305951738962904e-05
29,1,3,4.566628558677621e-05
30,1,3,4.4167105528458706e-09
31,2,4,0.49078837037086487
32,2,4,4.4811923061161e-09
33,2,4,4.666278474729779e-09
34,2,4,4.838238254478711e-09
35,2,4,4.9974686611165e-09
36,2,4,5.144623838049256e-09
37,2,4,5.280602177748506e-09
38,2,4,5.405854874851457e-09
39,2,4,5.521021417820293e-09
40,2,4,5.627023291765454e-09
41,2,5,5.72426215512678e-05
42,2,5,5.808977743271271e-09
43,2,5,5.886631626594863e-09
44,2,6,5.957601388217881e-05
45,2,6,6.017711218220256e-09
46,3,7,0.4890401363372803
47,3,7,6.576422961757089e-09
48,3,7,7.0517942596382e-09
49,3,7,7.49829176527328e-09
50,3,7,7.916016286912964e-09
51,3,8,8.305405935971066e-05
52,3,8,8.660085981659904e-09
53,4,9,0.4866819381713867
54,4,9,9.882072049549606e-09
55,4,9,1.0730145660886592e-08
56,4,9,1.153052675562094e-08
57,4,9,1.228221080395997e-08
58,4,9,1.2985037045609715e-08
59,4,9,1.364026669392615e-08
60,4,9,1.4248666246885477e-08
61,4,10,0.0001481210783822462
62,4,11,0.0001531902380520478
63,4,11,1.577178210254715e-08
64,4,11,1.6188346663170705e-08
65,4,12,0.00016570521984249353
66,5,13,0.4817814826965332
67,6,14,0.48115724325180054
68,6,15,0.00020136611419729888
69,6,15,2.2061778182091984e-08
70,6,15,2.3883217181719374e-08
71,6,15,2.5597040931302217e-08
72,6,15,2.7201416230582254e-08
73,6,15,2.869815851624935e-08
74,6,15,3.008858939779202e-08
75,6,15,3.1377382470054727e-08
76,6,15,3.256805669593632e-08
77,6,15,3.36657741684121e-08
78,6,16,0.00034676201175898314
79,6,16,3.556768746193484e-08
80,6,16,3.6385078061584863e-08
81,6,16,3.713252993975402e-08
82,6,16,3.781634205779483e-08
83,6,16,3.8440258975924735e-08
84,6,16,3.900994371974775e-08
85,6,16,3.9528288198198425e-08
86,6,16,4.000051490038459e-08
87,6,17,0.00040430392255075276
88,6,17,4.077658743995016e-08
89,6,17,4.109102746951976e-08
90,6,17,4.137612918952982e-08
91,6,17,4.163479516705593e-08
92,6,17,4.1868933209343595e-08
93,6,17,4.2081030215967985e-08
94,6,17,4.2273079259302904e-08
95,6,17,4.244656892637977e-08
96,6,17,4.2603556238418605e-08
97,6,17,4.274558307315601e-08
98,6,17,4.287311838879759e-08
99,6,17,4.2988826720602447e-08
100,6,18,0.0004309305513743311
101,6,18,4.3136417104960856e-08
102,6,18,4.317472246384568e-08
103,6,18,4.320921220823948e-08
104,6,18,4.323988278542856e-08
105,6,19,0.00043267427827231586
106,7,20,0.4710250794887543
107,7,20,4.496018135569102e-08
108,7,20,4.6545100218509106e-08
109,7,20,4.800209651989462e-08
110,8,21,0.4690806567668915
111,8,21,5.246134193725993e-08
112,8,21,5.536636749070567e-08
113,8,21,5.8061143448639996e-08
114,8,21,6.055260115545025e-08
115,8,21,6.284916764798254e-08
116,8,22,0.0006496132118627429
117,8,22,6.681806041797245e-08
118,8,22,6.851877287772368e-08
119,8,22,7.007340485642999e-08
120,8,22,7.149326108901732e-08
121,8,22,7.278799785126466e-08
122,8,23,0.0007396723958663642
123,8,23,7.494431031318527e-08
124,8,23,7.583392402921163e-08
125,8,23,7.663980028382866e-08
126,8,24,0.000773714215029031
127,9,25,0.46129941940307617
128,9,25,8.096073855767827e-08
129,10,26,0.4599115550518036
130,10,26,8.893236014273498e-08
131,10,26,9.375006015943654e-08
132,10,27,0.0009821365820243955
133,10,27,1.0220112756087474e-07
134,10,27,1.0587316978671879e-07
135,10,27,1.0924403426315621e-07
136,10,27,1.1233375118990807e-07
137,10,27,1.1516242182096903e-07
138,10,27,1.1774588415391918e-07
139,10,27,1.201022570285204e-07
140,10,27,1.2225162038248527e-07
141,10,27,1.242064229245443e-07
142,10,27,1.2598404453001422e-07
143,10,27,1.2760111189891177e-07
144,10,27,1.290675584186829e-07
145,10,27,1.3039775126344466e-07
146,10,27,1.3160287437585794e-07
147,10,27,1.326945096025156e-07
148,10,27,1.3368469353736145e-07
149,10,27,1.345780447081779e-07
150,10,27,1.3538712551053322e-07
151,10,27,1.3611698079785128e-07
152,10,27,1.367766913062951e-07
153,10,28,0.001373710692860186
154,10,28,1.377096197074934e-07
155,11,29,0.448841392993927
156,11,29,1.4191130048857303e-07
157,11,29,1.4547400439823832e-07
158,11,29,1.487291569901572e-07
159,12,30,0.4464358985424042
160,12,30,1.5822629961803614e-07
161,13,31,0.4443292021751404
162,13,31,1.7375138838815474e-07
163,13,31,1.8256776002090191e-07
164,13,31,1.907154825175894e-07
165,13,31,1.9822162755644968e-07
166,13,31,2.051227312449555e-07
167,13,31,2.1145091011476325e-07
168,13,32,0.0021724291145801544
169,14,33,0.4355567693710327
170,14,33,2.3141255667269434e-07
171,14,33,2.3987215058696165e-07
172,14,34,0.0024764169938862324
173,14,34,2.5438512807340885e-07
174,14,35,0.002605451736599207
175,14,35,2.657708932929381e-07
176,14,35,2.705341728415078e-07
177,14,35,2.7486447606861475e-07
178,14,36,0.002787994919344783
179,14,36,2.8194727974550915e-07
180,14,36,2.84796612959326e-07
181,14,36,2.8738344326484366e-07
182,14,36,2.897210436003661e-07
183,14,36,2.918346524438675e-07
184,14,37,0.0029374267905950546
185,15,38,0.42613685131073
186,15,38,3.016898517671507e-07
187,15,38,3.0777385973124183e-07
188,15,38,3.133167467694875e-07
189,15,38,3.1835594427320757e-07
190,15,39,0.0032293337862938643
191,15,40,0.003265819512307644
192,15,40,3.2937686000877875e-07
193,15,40,3.31897297201067e-07
194,15,40,3.3418362477277697e-07
195,15,40,3.3624559137024335e-07
196,15,40,3.3810556487878785e-07
197,15,41,0.0033978503197431564
198,15,41,3.4075750932061055e-07
199,15,41,3.416314768855955e-07
200,15,41,3.4241406865476165e-07
201,15,41,3.4311730701119814e-07
202,15,41,3.437471605138853e-07
203,15,41,3.443095408783847e-07
204,15,41,3.4481053035051445e-07
205,15,41,3.4525615433267376e-07
206,15,41,3.4565869100333657e-07
207,15,41,3.460118875864282e-07
208,15,41,3.463218547494762e-07
209,15,41,3.4660095593608276e-07
210,15,41,3.4684913430282904e-07
211,15,41,3.470663614280056e-07
212,15,41,3.4725260888990306e-07
213,15,41,3.474140726211772e-07
214,15,41,3.475569201327744e-07
215,15,41,3.476811514246947e-07
216,15,41,3.477867949186475e-07
217,15,41,3.4787379377121397e-07
218,15,41,3.4794837233675935e-07
219,15,41,3.4801053061528364e-07
220,15,41,3.4806026860678685e-07
221,15,41,3.4809755788955954e-07
222,15,41,3.481286512396764e-07
223,15,41,3.4814729588106275e-07
224,15,41,3.4815971616808383e-07
225,15,41,3.481659405224491e-07
