pages_crawled,total_reward,terminal_states
0,0,0
1,0,0
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,2
18,1,2
19,1,3
20,1,3
21,1,3
22,1,3
23,1,3
24,1,3
25,1,3
26,1,3
27,1,3
28,1,3
29,1,3
30,1,3
31,1,3
32,1,3
33,1,3
34,1,4
35,1,5
36,2,5
37,3,5
38,3,5
39,3,5
40,3,5
41,3,5
42,4,5
43,4,5
44,4,5
45,4,5
46,4,5
47,4,5
48,4,6
49,4,7
50,4,7
51,4,7
52,4,7
53,4,7
54,4,7
55,4,8
56,4,9
57,4,9
58,4,9
59,4,10
60,5,10
61,5,10
62,5,10
63,5,10
64,5,11
65,5,11
66,5,11
67,5,11
68,5,11
69,5,11
70,5,11
71,5,11
72,5,12
73,5,12
74,5,12
75,5,12
76,5,12
77,5,12
78,5,12
79,5,13
80,5,14
81,6,14
82,6,15
83,6,16
84,6,16
85,6,16
86,6,16
87,6,16
88,6,17
89,7,17
90,8,17
91,8,17
92,8,17
93,8,17
94,8,17
95,8,17
96,8,17
97,8,17
98,8,17
99,8,17
100,8,17
101,8,18
102,9,18
103,9,18
104,9,18
105,9,18
106,9,18
107,9,18
108,9,18
109,9,18
110,9,18
111,9,18
112,9,18
113,9,18
114,9,18
115,9,18
116,9,18
117,9,18
118,9,18
119,9,18
120,9,18
121,9,18
122,9,18
123,9,18
124,9,18
125,9,18
126,9,18
127,9,18
128,9,18
129,10,18
130,10,19
131,10,20
132,10,20
133,10,20
134,10,20
135,10,20
136,10,20
137,10,20
138,10,21
139,10,21
140,10,22
141,10,22
142,10,22
143,10,22
144,10,22
145,10,23
146,10,23
147,10,23
148,10,24
149,10,24
150,10,24
151,10,24
152,10,24
153,10,24
154,10,24
155,10,24
156,10,24
157,10,24
158,10,24
159,10,24
160,10,25
161,10,25
162,10,25
163,10,25
164,10,25
165,10,26
166,10,27
167,10,27
168,10,27
169,10,27
170,10,27
171,10,27
172,10,27
173,10,27
174,10,27
175,11,27
176,11,27
177,11,27
178,11,27
179,11,28
180,12,28
181,12,28
182,12,28
183,12,29
184,12,29
185,12,29
186,12,29
187,12,29
188,12,29
189,12,29
190,12,29
191,12,29
192,12,29
193,12,29
194,12,29
195,12,30
196,12,30
197,12,31
198,13,31
199,13,31
200,13,31
201,13,31
202,13,31
203,13,31
204,13,31
205,13,31
206,13,31
207,13,32
208,13,32
209,13,32
210,13,32
211,13,32
212,13,33
213,13,33
214,13,33
215,13,33
216,13,34
217,13,34
218,13,34
219,13,34
220,13,34
221,13,34
222,13,35
223,13,35
224,13,35
225,13,35
226,13,35
227,13,35
228,13,36
229,14,36
230,14,36
231,14,36
232,14,36
233,15,36
234,15,36
235,16,36
236,16,36
237,16,36
238,16,36
239,16,36
240,16,36
241,16,36
242,16,36
243,16,36
244,16,36
245,16,36
246,16,37
247,17,37
248,17,37
249,17,37
250,17,37
251,17,37
252,17,37
253,17,37
254,17,37
255,17,37
256,17,37
257,17,37
258,17,37
259,17,37
260,17,37
261,17,37
262,17,37
263,17,37
264,17,37
265,17,37
266,17,37
267,17,37
268,17,37
269,17,37
270,17,37
271,17,37
272,17,37
273,17,37
274,17,37
275,17,37
276,17,37
277,17,37
278,17,37
279,17,37
280,17,37
281,17,37
282,17,37
283,17,37
284,17,37
285,17,37
286,17,37
287,17,37
288,17,37
289,17,37
290,17,37
291,17,37
292,17,37
293,17,37
294,17,37
295,17,37
296,17,37
297,17,37
298,17,37
299,17,37
300,17,38
301,17,39
302,17,39
303,17,39
304,17,39
305,17,39
306,17,39
307,17,40
308,17,40
309,17,40
310,17,40
311,17,40
312,17,40
313,17,41
314,17,41
315,17,41
316,17,41
317,17,41
318,17,41
319,17,41
320,17,41
321,17,41
322,17,41
323,17,41
324,17,41
325,17,41
326,17,41
327,17,41
328,17,41
329,17,41
330,17,42
331,17,42
332,17,42
333,17,42
334,17,42
335,17,42
336,17,42
337,17,42
338,17,43
339,17,43
340,17,43
341,17,43
342,17,43
343,17,43
344,17,43
345,17,43
346,17,44
347,18,44
348,18,44
349,18,44
350,18,44
351,18,45
352,19,45
353,19,46
354,19,46
355,19,46
356,19,46
357,19,46
358,19,46
359,19,46
360,19,47
361,19,48
362,19,48
363,19,48
364,19,49
365,19,49
366,19,49
367,19,49
368,19,50
369,19,51
370,19,51
371,19,51
372,19,51
373,19,51
374,19,51
375,19,51
376,19,52
377,19,52
378,19,52
379,19,52
380,19,53
381,19,53
382,19,53
383,19,53
384,19,54
385,20,54
386,21,54
387,21,54
388,21,54
389,21,54
390,21,54
391,21,54
392,21,54
393,21,54
394,21,54
395,21,54
396,21,54
397,21,55
398,21,55
399,21,55
400,21,56
401,21,56
402,21,56
403,21,56
404,21,57
405,21,57
406,21,57
407,21,57
408,21,57
409,21,58
410,21,58
411,21,58
412,21,59
413,21,60
414,21,60
415,21,60
416,21,60
417,21,60
418,21,60
419,21,61
420,21,61
421,21,61
422,21,61
423,21,62
424,21,63
425,22,63
426,22,63
427,23,63
428,23,63
429,23,63
430,23,63
431,23,64
432,23,64
433,23,64
434,23,64
435,23,64
436,23,64
437,23,64
438,23,64
439,23,64
440,23,64
441,23,64
442,23,64
443,23,64
444,23,64
445,23,64
446,23,64
447,23,64
448,23,64
449,23,64
450,23,64
451,23,64
452,23,64
453,23,64
454,23,64
455,23,64
456,23,64
457,23,64
458,23,64
459,23,64
460,23,64
461,23,64
462,23,64
463,23,64
464,23,64
465,23,64
466,23,64
467,23,64
468,23,64
469,23,64
470,23,64
471,23,64
472,23,64
473,23,65
474,23,66
475,23,66
476,23,66
477,23,66
478,23,66
479,23,66
480,24,66
481,25,66
482,26,66
483,26,67
484,26,67
485,27,67
486,28,67
487,29,67
488,29,67
489,29,67
490,29,67
491,29,67
492,29,67
493,29,67
494,29,67
495,29,68
496,29,68
497,29,68
498,29,68
499,29,68
500,29,69
501,29,69
502,29,69
503,29,69
504,29,69
505,29,69
506,29,69
507,29,70
508,29,71
509,29,71
510,29,72
511,29,72
512,29,72
513,29,72
514,29,72
515,29,72
516,29,72
517,29,72
518,29,72
519,29,72
520,29,72
521,29,73
522,29,73
523,29,73
524,29,73
525,30,73
526,30,73
527,30,73
528,30,73
529,30,73
530,30,73
531,30,73
532,30,73
533,30,73
534,30,74
535,31,74
536,32,74
537,32,74
538,32,74
539,32,74
540,32,74
541,32,74
542,32,74
543,32,74
544,32,74
545,32,74
546,32,74
547,32,74
548,32,75
549,32,75
550,32,75
551,32,75
552,32,75
553,32,75
554,33,75
555,33,75
556,33,75
557,33,75
558,33,75
559,33,75
560,33,75
561,33,76
562,33,76
563,33,76
564,33,76
565,33,76
566,33,76
567,33,76
568,33,76
569,33,76
