pages_crawled,total_reward,terminal_states,nn_loss
1,0,0,0.00273823831230402
2,0,0,6.626285903621465e-05
3,0,0,0.006803654599934816
4,0,0,2.3631026124348864e-05
5,0,0,3.0218892788980156e-05
6,0,0,3.584368823794648e-05
7,0,0,4.0472139517078176e-05
8,0,0,0.0477067232131958
9,0,1,0.20916935801506042
10,0,1,0.006133077200502157
11,0,2,0.08512813597917557
12,1,2,0.6806062459945679
13,1,3,0.06806516647338867
14,1,3,0.006590509321540594
15,1,3,1.4432648640649859e-05
16,1,3,1.3615157513413578e-05
17,1,3,0.00022354451357387006
18,1,3,7.887954416219145e-05
19,1,3,0.03260313346982002
20,1,3,0.00018567741790320724
21,1,3,3.444579488132149e-05
22,1,3,2.0238981960574165e-05
23,1,3,7.383973570540547e-05
24,1,3,2.4940258299466223e-05
25,1,3,5.304357182467356e-05
26,1,3,3.492635369184427e-05
27,1,3,1.1852197530970443e-05
28,1,3,1.0903308975684922e-05
29,1,3,3.387798642506823e-05
30,1,3,1.5622337741660886e-05
31,1,3,1.0413629752292763e-05
32,1,3,0.009436022490262985
33,1,3,0.0003700022352859378
34,1,3,0.00011480521061457694
35,1,3,2.4987217329908162e-05
36,1,3,0.00011515998630784452
37,1,3,6.422946171369404e-06
38,1,3,6.418247266992694e-06
39,1,3,8.220156814786606e-06
40,1,3,3.38480640493799e-05
41,1,3,1.1812763659690972e-05
42,1,3,1.3576306628237944e-05
43,1,3,1.3930326531408355e-05
44,1,3,2.7742476959247142e-05
45,1,3,1.6072315702331252e-05
46,1,3,2.710616354306694e-05
47,1,3,1.063664058165159e-05
48,1,3,1.1606956832110882e-05
49,1,3,1.737421735015232e-05
50,1,3,1.0872296115849167e-05
51,1,3,8.057116247073282e-06
52,1,3,2.3748569219605997e-05
53,1,3,1.120542310673045e-05
54,1,3,2.831144411175046e-05
55,1,3,9.733903425512835e-06
56,1,3,1.6686701201251708e-05
57,1,3,1.4998662663856521e-05
58,1,3,4.098440967936767e-06
59,1,3,4.199915110802976e-06
60,1,3,1.1044043276342563e-05
61,1,3,7.156117590056965e-06
62,1,3,1.6379943190258928e-05
63,1,3,7.720000212430023e-06
64,1,3,0.011096677742898464
65,1,3,0.006128876004368067
66,1,3,4.01964189222781e-06
67,1,3,3.849439963232726e-06
68,1,3,0.0001975715858861804
69,1,3,0.0021715404000133276
70,1,3,2.083412482534186e-06
71,1,3,0.011351484805345535
72,1,3,0.0009815046796575189
73,1,3,5.169597898202483e-06
74,1,3,0.00028596274205483496
75,1,3,0.0006831675418652594
76,1,3,0.0005341637879610062
77,1,3,0.00031358739943243563
78,1,3,0.00022772318334318697
79,1,3,0.0003522027109283954
80,1,3,0.00038560957182198763
81,1,3,5.754756671194627e-07
82,1,3,9.657785994932055e-06
83,1,3,0.0005987374461255968
84,1,3,0.000927841872908175
85,1,3,8.497094677295536e-05
86,1,3,2.7692107323673554e-05
87,1,3,8.353737939614803e-06
88,1,3,4.708302367362194e-05
89,1,3,3.6780580558115616e-05
90,1,3,1.5089881344465539e-05
91,1,3,1.052060179063119e-05
92,1,3,3.3424448702135123e-06
93,1,3,0.00032408011611551046
94,1,3,0.0003837715194094926
95,1,3,4.080893631908111e-05
96,1,3,2.494239652151009e-06
97,1,3,7.692843792028725e-05
98,1,3,4.252247435942991e-06
99,1,3,8.43558955239132e-05
100,1,3,0.0004392746486701071
101,1,3,0.0010822601616382599
102,1,3,1.9990843611594755e-06
103,1,3,2.703813606785843e-06
104,1,3,0.00021587472292594612
105,1,3,2.704563485167455e-05
106,1,4,0.007281293161213398
107,1,5,0.004268692806363106
108,1,6,0.003207703586667776
109,1,6,0.026883242651820183
110,1,7,0.05182769149541855
111,1,8,0.0063065337017178535
112,1,8,0.0004100025980733335
113,1,8,1.0841362382052466e-05
114,1,8,2.5294431907241233e-05
115,1,8,3.976059815613553e-05
116,1,8,2.869249692594167e-05
117,1,8,0.00022266944870352745
118,1,8,0.00027737871278077364
