pages_crawled,total_reward,terminal_states,nn_loss
1,0,1,0.21872089803218842
2,0,2,0.0527837835252285
3,0,2,0.0001680533168837428
4,0,2,2.008163028222043e-05
5,0,3,0.02312084473669529
6,0,4,0.036660000681877136
7,0,4,0.037315260618925095
8,0,4,0.0010319213615730405
9,0,4,6.430318535421975e-06
10,0,4,7.931773780001095e-07
11,0,4,6.34207663097186e-06
12,0,5,0.006954248063266277
13,1,6,0.5937336683273315
14,1,6,0.0007693671504966915
15,1,6,6.508348451461643e-05
16,1,7,0.0021026218309998512
17,1,7,0.0009736004285514355
18,1,7,2.40997883338423e-06
19,1,8,0.0011442942777648568
20,1,9,0.0008120104903355241
21,1,9,1.1077266208303627e-05
22,1,10,8.790508582023904e-05
23,1,10,7.66611992730759e-06
24,1,11,4.825327778235078e-05
25,1,11,0.00038834402221255004
26,1,12,0.0013918733457103372
27,1,13,0.0001540184603072703
28,1,13,0.0064436281099915504
29,1,14,0.014149262569844723
30,1,15,0.0030470057390630245
31,1,16,0.0002743769437074661
32,1,17,7.425805961247534e-05
33,1,18,2.798500281642191e-05
34,2,18,0.5072886943817139
35,2,18,2.493151077942457e-05
36,2,18,5.334951538316091e-07
37,2,19,0.0009877094998955727
38,2,20,0.004610105883330107
39,2,20,0.0024806843139231205
40,2,21,0.004729343578219414
41,2,22,2.1559930246439762e-05
42,2,23,0.0010048854164779186
43,2,23,0.0002833157777786255
44,2,23,5.266750667942688e-05
45,2,23,5.94599669057061e-06
46,2,23,5.7357219702680595e-06
47,2,23,3.3872906897158828e-06
48,2,23,2.496713204891421e-05
49,2,23,1.0816869462360046e-06
50,2,24,2.563320322224172e-06
51,2,25,2.158800953111495e-06
52,2,25,0.001210532383993268
53,2,25,0.0001696730323601514
54,2,25,0.002038339851424098
55,2,25,0.0001308864011662081
56,2,26,0.0013803953770548105
57,2,26,0.0025261985138058662
58,2,26,0.0005922701675444841
59,2,26,6.894917169120163e-05
60,2,26,1.6623617682398617e-07
61,2,26,1.0989756447088439e-05
62,2,26,1.0995782758982386e-05
63,2,26,1.1207433203708206e-07
64,2,26,9.482584317765941e-08
65,2,26,0.00011303434439469129
66,2,26,2.9413880838546902e-05
67,2,27,0.0011990212369710207
68,2,28,9.507878530712333e-06
69,2,29,0.00014338317851070315
70,2,29,3.007732232163107e-07
71,2,29,3.5126226975989994e-06
72,2,29,2.5921309543264215e-10
73,2,29,2.0531651898636483e-05
74,2,29,2.0262359612388536e-05
75,2,29,8.961059938883409e-05
76,2,29,1.7715949070407078e-05
77,2,29,3.8876464547588085e-11
78,2,29,5.162820343684871e-06
79,2,29,1.862590637280448e-10
80,2,30,9.689498256193474e-05
81,2,30,0.00037164727109484375
82,2,31,0.0004093851603101939
83,2,31,2.906411828007549e-05
84,2,31,3.09226955153008e-08
85,2,31,5.255550661331654e-08
86,2,31,2.9117147278157063e-05
87,2,31,2.537959699111525e-05
88,2,31,2.314845737316773e-08
89,2,31,5.422440274571727e-10
90,2,31,0.00017235141422133893
91,2,32,7.108410500222817e-06
