pages_crawled,total_reward,terminal_states,nn_loss
1,1,0,0.7722194790840149
2,1,0,6.219891656655818e-05
3,1,1,0.0005552469519898295
4,2,2,0.8095165491104126
5,2,2,0.011669047176837921
6,2,2,0.0020608592312783003
7,2,3,0.0028401920571923256
8,3,3,0.48012036085128784
9,3,4,0.0023359337355941534
10,3,5,0.0009606220992282033
11,3,6,0.04534369334578514
12,3,7,0.03435295820236206
13,3,8,0.01016694214195013
14,3,9,0.001923888805322349
15,3,10,0.01943015865981579
16,4,11,0.46151918172836304
17,4,12,0.015757907181978226
18,5,12,0.5365650057792664
19,5,13,0.02501257322728634
20,6,13,0.6053896546363831
21,6,13,0.0013171244645491242
22,6,14,0.006979609373956919
23,6,15,0.020715026184916496
24,7,16,0.30894187092781067
25,7,17,0.00945349596440792
26,7,17,0.03613995388150215
27,7,18,0.11631567776203156
28,7,19,0.01868641935288906
29,7,19,0.13645344972610474
30,7,19,0.010229087434709072
31,7,20,0.1859632283449173
32,7,21,0.01644309051334858
33,8,21,0.5270577073097229
34,8,22,0.03798231855034828
35,8,23,0.11648401618003845
36,8,24,0.1575762778520584
37,8,25,0.02302616648375988
38,9,25,0.25266996026039124
39,9,25,0.01400754414498806
40,9,26,0.02693065255880356
41,9,27,0.0023758907336741686
42,9,28,0.008925692178308964
43,10,28,0.5048515796661377
44,10,29,0.0497402548789978
45,10,30,0.03267790004611015
46,10,31,0.006586088798940182
47,10,32,0.025455521419644356
48,10,33,0.0026113982312381268
49,10,34,0.016317907720804214
50,10,35,0.02470112219452858
51,11,35,0.41566213965415955
52,11,35,0.013473577797412872
53,11,36,0.05594087392091751
54,11,36,0.06669370085000992
55,12,37,0.13271276652812958
56,12,37,0.006357626523822546
57,12,37,0.05240663141012192
58,12,38,0.24916663765907288
59,12,38,0.0023069658782333136
60,12,38,0.00018530144006945193
61,12,38,8.498279930790886e-05
62,12,38,0.0003124632639810443
63,12,38,0.01097068376839161
64,12,38,0.005114046391099691
65,12,38,0.002175847766920924
66,12,38,0.003619119292125106
67,12,38,0.002561728237196803
68,12,39,0.006640989799052477
69,12,39,0.012650540098547935
70,12,40,0.034235842525959015
71,12,40,4.0486779653292615e-06
72,12,40,0.12397853285074234
73,12,41,0.1970568746328354
74,12,41,0.0800585076212883
75,12,42,0.1294318437576294
76,12,43,0.007691555190831423
