pages_crawled,total_reward,terminal_states,nn_loss
1,0,0,2.3086755390977487e-05
2,0,0,0.02352963015437126
3,0,1,0.0014857881469652057
4,1,2,0.2564539611339569
5,1,2,0.03898631036281586
6,1,3,1.2064330577850342
7,1,3,0.09889968484640121
8,1,3,0.10312682390213013
9,1,3,0.14829279482364655
10,1,3,1.3140227395069815e-07
11,1,3,0.003216102486476302
12,1,3,0.0007209594477899373
13,1,3,0.00011042976257158443
14,1,3,0.001390329678542912
15,1,3,0.00565056037157774
16,1,3,0.00012818917457479984
17,1,3,6.588685937458649e-05
18,1,3,0.006420102436095476
19,1,3,0.00010430930706206709
20,1,3,0.0004102947423234582
21,1,3,0.00045357533963397145
22,1,3,0.00040886769420467317
23,1,3,0.0003717172658070922
24,1,3,0.00018740548694040626
25,1,3,0.0004830186371691525
26,1,3,0.0005423225229606032
27,1,3,2.267120862597949e-06
28,1,3,0.0007245759479701519
29,1,3,0.0014832860324531794
30,1,3,4.561239984468557e-05
31,1,3,0.0008203682373277843
32,1,3,0.00020497437799349427
33,1,3,0.0002228386583738029
34,1,3,0.033049143850803375
35,1,3,0.0018480708822607994
36,1,3,0.0004788694786839187
37,1,3,0.012753868475556374
38,1,4,0.04890728369355202
39,1,4,0.3845907747745514
40,1,4,0.0012471118243411183
41,1,4,0.00017571414355188608
42,1,5,0.005874984432011843
43,1,5,0.0005236921715550125
44,2,6,0.5674633979797363
45,2,6,0.012670570984482765
46,2,6,0.0005873406771570444
47,2,6,1.0861959935937193e-06
48,2,6,0.03992403298616409
49,2,7,1.0619374513626099
50,2,7,0.14160001277923584
51,2,7,0.03276176378130913
52,2,7,0.0003079333691857755
53,2,8,0.032581888139247894
54,2,9,0.009559215046465397
55,2,9,0.01782863773405552
56,2,9,0.02542474865913391
57,2,9,0.010943316854536533
58,2,9,5.5656928452663124e-05
59,2,9,0.1959259808063507
60,2,9,0.22784055769443512
61,2,9,5.434566628537141e-05
62,2,9,0.048820339143276215
63,2,9,0.004718487616628408
64,2,9,0.0007212964119389653
65,2,9,0.0012243014061823487
66,2,9,0.0009719043737277389
67,2,9,0.00044876663014292717
68,2,9,8.5909639892634e-05
69,2,9,0.0012205849634483457
70,2,9,0.002936288248747587
71,2,9,0.0007460922934114933
72,2,9,0.00013416801812127233
