pages_crawled,total_reward,terminal_states,nn_loss
1,0,0,2.4727082745812368e-06
2,0,0,5.070807560514368e-07
3,0,0,2.8717872169181646e-07
4,0,1,0.00011173743405379355
5,1,2,0.49988919496536255
6,1,2,1.2211879152346228e-07
7,1,2,1.2623989675830671e-07
8,2,3,0.49408823251724243
9,3,4,0.49638259410858154
10,3,4,4.968159146301332e-07
11,3,4,9.985228643927258e-06
12,3,4,1.817752854549326e-05
13,3,5,0.0002755718887783587
14,3,5,1.0251063031319063e-05
15,3,5,1.2110020179534331e-05
16,3,5,2.9657865525223315e-05
17,3,5,5.175235401111422e-06
18,3,6,0.00033515613176859915
19,3,6,2.921164821145794e-07
20,3,6,8.715599619790737e-07
21,3,6,1.7064276107703336e-05
22,3,6,2.550139299728471e-07
23,3,6,4.0328932300326414e-06
24,3,6,3.3505309602333e-06
25,3,6,7.435853149218019e-06
26,3,6,4.382074166642269e-06
27,4,7,0.47220465540885925
28,4,7,5.403530849434901e-07
29,4,7,3.0485804813906725e-07
30,4,7,5.906610567762982e-06
31,4,7,7.753736319671134e-09
32,4,7,1.4018804677107255e-06
33,4,7,1.2468847216950962e-06
34,4,7,9.814627901505446e-07
35,4,7,1.227033408213174e-07
36,4,7,1.188937221741071e-05
37,4,7,4.751554115500767e-06
38,4,7,1.6062411305028945e-05
39,4,7,1.9360573787707835e-05
40,4,7,1.3571434465120547e-05
41,4,7,7.07336948835291e-06
42,4,7,3.445277570790495e-06
43,4,7,7.566671342829068e-07
44,4,7,1.768120000633644e-06
45,4,7,9.108968697546516e-06
46,4,7,1.2817329661629628e-05
47,4,7,8.425947271462064e-06
48,4,8,0.000831137818749994
49,4,8,1.3345319302970893e-06
50,4,8,7.748030475340784e-05
51,4,8,2.734275312832324e-06
52,4,8,5.584080099652056e-06
53,4,8,0.00011051235196646303
54,4,9,0.00014969269977882504
55,5,10,0.460981547832489
56,5,10,9.097650945477653e-06
57,5,10,2.708927013372886e-06
58,5,10,8.990627065941226e-06
59,5,11,0.0008811663719825447
60,6,12,0.457415908575058
61,7,13,0.4577522575855255
62,7,14,0.0008164503378793597
63,8,15,0.4652252793312073
64,8,15,1.3119861641541775e-08
65,8,15,5.845317900821101e-06
66,8,15,9.139236681221519e-06
67,8,15,4.8327212425647303e-05
68,8,15,2.064955697278492e-05
69,8,15,1.0798091352626216e-05
70,8,15,1.3208627024141606e-05
71,8,15,1.0966025001835078e-05
72,8,15,1.1073827408836223e-05
73,8,15,1.0565043339738622e-05
74,8,15,1.1104476470791269e-05
75,8,15,4.67543832201045e-05
76,8,15,2.213184598076623e-05
77,9,16,0.4564923644065857
78,9,16,9.901220437313896e-06
79,9,16,0.0008602351299487054
80,9,17,0.004809608217328787
81,10,18,0.41955819725990295
82,10,18,3.29148315358907e-05
83,10,18,1.581024548613641e-06
84,10,18,0.00031976241734810174
85,10,18,1.547612737340387e-05
86,10,18,0.00016948471602518111
87,10,18,8.129682669277827e-07
88,10,18,3.2629581255605444e-05
89,10,18,4.516150147537701e-05
90,10,18,5.2609044359996915e-05
91,10,18,0.00014709396054968238
92,10,18,4.749109905333171e-07
93,10,18,4.17032242694404e-05
94,10,19,0.003624934935942292
95,10,19,0.00010975368786603212
96,10,19,7.49735627323389e-05
97,10,20,0.003954623360186815
98,10,20,1.3534292520489544e-05
99,10,20,9.871370275504887e-05
100,10,20,1.8817654989788934e-08
101,10,21,0.003629630897194147
102,10,21,9.60340344136057e-07
103,10,21,2.4429793484159745e-05
104,10,22,0.002467205049470067
105,10,22,2.570775723143015e-05
106,10,22,0.0001282417943002656
107,10,22,0.00011817806807812303
108,11,23,0.4048151969909668
109,11,23,1.0417608109491994e-07
110,11,23,0.00027378438971936703
111,11,23,0.0004912453587166965
112,11,23,0.00011589703353820369
113,11,24,0.0037743765860795975
114,11,24,0.0004231995262671262
115,11,25,0.003633627900853753
116,11,25,2.193408761286264e-07
117,11,25,0.00013113055319990963
118,11,26,0.003023975994437933
119,12,27,0.4269711971282959
120,12,27,0.00013173816842027009
121,12,27,0.0005435043131001294
122,12,28,0.0033032549545168877
123,12,28,1.9138587958877906e-06
124,12,28,0.00015546315989922732
125,12,28,4.791792525793426e-05
126,12,28,0.0005261620390228927
127,12,28,6.443457095883787e-05
128,12,28,7.984750118339434e-05
129,12,28,5.224653250479605e-06
130,12,28,5.5401880672434345e-05
131,12,28,4.4344691559672356e-05
132,12,28,0.000127392791910097
133,12,28,0.0006140850600786507
134,12,28,1.2087544746464118e-05
135,12,28,2.0820220015593804e-05
136,12,28,8.961309504229575e-05
137,12,28,0.00013665875303559005
138,12,28,0.00019218085799366236
139,12,28,0.0004406376101542264
140,12,28,4.667376197176054e-05
141,12,28,5.255571159068495e-05
142,12,28,7.673272921238095e-05
143,12,29,0.002852634759619832
144,12,29,3.636950714280829e-05
145,12,29,6.336011324492574e-07
146,12,29,8.183673344319686e-06
147,12,29,0.0003432290686760098
148,12,29,1.8415118319126123e-08
149,12,29,0.00011563390580704436
150,12,29,4.0177266782848164e-05
151,12,29,3.8271595258265734e-05
152,12,29,3.908335929736495e-05
153,12,29,2.153546034833198e-07
154,13,30,0.4102029502391815
155,13,31,0.0022907673846930265
156,13,31,1.9317132682772353e-05
157,13,31,1.5116067515918985e-05
158,13,31,7.74780801293673e-06
159,13,32,0.0025739457923918962
160,13,32,3.633659798651934e-05
161,13,32,7.043894584057853e-05
162,13,32,7.21148680895567e-05
163,13,32,7.336695853155106e-05
164,13,32,3.817225297098048e-05
165,13,32,4.048326809424907e-05
166,13,32,3.5960929380962625e-05
167,13,32,3.115674917353317e-05
168,13,32,0.00015337254444602877
169,13,33,0.00955185852944851
170,13,33,5.723051799577661e-05
171,14,34,0.3987007737159729
172,15,35,0.404233455657959
173,15,36,0.007441948167979717
174,15,36,2.061265695374459e-05
175,15,36,6.79844306432642e-05
176,15,36,8.665837958687916e-05
177,15,36,5.623024844680913e-05
178,16,37,0.38534072041511536
179,16,37,0.0015697828494012356
180,16,37,3.471775244179298e-06
181,16,37,0.00011519684630911797
182,16,37,0.000451027910457924
183,16,38,0.008303608745336533
184,16,39,0.005223202984780073
185,17,40,0.38938912749290466
186,17,40,0.0003316315123811364
187,17,40,0.0005713080754503608
188,17,40,0.00021659629419445992
189,18,41,0.39888429641723633
190,19,42,0.44725942611694336
191,19,43,0.0018519476288929582
192,20,44,0.40829622745513916
193,21,45,0.3905427157878876
194,21,45,0.0006598740583285689
195,21,45,7.405900532830856e-07
196,22,46,0.4008104205131531
197,23,47,0.38080495595932007
198,23,47,0.00040417947457171977
199,23,47,1.1319780242047273e-05
200,23,47,0.00015519277076236904
201,23,47,0.00014556979294866323
202,23,47,7.94007137301378e-05
203,23,47,0.0014651798410341144
204,23,47,0.00094528344925493
205,23,47,1.4659472071798518e-06
206,23,48,0.011531679891049862
207,23,48,0.000169342354638502
208,23,48,0.0011897152289748192
209,23,49,0.01158835832029581
210,24,50,0.33850356936454773
211,24,50,0.00015002927102614194
212,24,50,2.7303682145429775e-05
213,24,51,0.015359124168753624
214,24,51,1.3211231816967484e-05
215,24,51,0.002245770301669836
216,24,51,6.970854155952111e-05
217,24,51,0.002248614327982068
218,24,51,0.000787838886026293
219,24,51,0.002087850822135806
220,24,52,0.0054654451087117195
221,24,52,0.00040404009632766247
222,24,52,0.00012901939044240862
223,24,52,0.0001295134425163269
224,24,52,1.150237221736461e-05
225,24,53,0.015070410445332527
226,25,54,0.34208932518959045
227,25,54,0.002564235357567668
228,25,54,2.9567343517555855e-05
229,25,54,0.0014144814340397716
230,25,54,9.749031050887424e-06
231,25,55,0.017364397644996643
232,25,55,1.2523717487056274e-05
233,25,55,4.857287058257498e-05
234,25,56,0.007718071341514587
235,25,56,0.0015943394973874092
236,25,56,0.0002476886729709804
237,25,56,0.0004893150762654841
238,25,56,0.00010603866394376382
239,25,57,0.021127156913280487
240,26,58,0.30945631861686707
241,27,59,0.3117236793041229
242,27,59,0.0006052315002307296
243,27,59,0.0005239818128757179
244,27,59,0.000495860178489238
245,27,60,0.036346253007650375
246,27,60,0.0003454006800893694
247,27,60,0.004642824176698923
248,27,60,0.00022243712737690657
