coef,words
0.06113676354289055,www
-0.030387938022613525,com
0.028402457013726234,uk
0.0434938445687294,co
-0.01447949931025505,org
0.025771092623472214,blog
0.000899720296729356,2F
0.021741030737757683,services
-0.04659828916192055,news
-0.03991536796092987,html
-0.07028444856405258,twitter
-0.05146940052509308,php
-0.056478798389434814,facebook
-0.04919474571943283,wordpress
0.07474739849567413,tax
-0.0005994538660161197,3A
-0.03006678633391857,category
-0.013693057000637054,2017
0.004434090573340654,us
-0.0943056121468544,url
-0.004701008554548025,tag
-0.04353303834795952,au
-0.004805266857147217,business
-0.11910419911146164,gov
-0.05869027599692345,en
0.42167308926582336,aarp
0.04653167724609375,law
-0.02246788516640663,share
-0.051893990486860275,page
0.008130667731165886,id
-0.055163413286209106,index
0.4561825394630432,intuit
-0.00974202435463667,web
-0.019800260663032532,google
-0.08389964699745178,de
-0.13040323555469513,linkedin
-0.01913580484688282,2016
0.0009307286818511784,2Fwww
0.10017479956150055,http
-0.02862098626792431,website
0.133851557970047,ihertfordshire
-0.019414452835917473,respond
-0.014723134227097034,legal
-0.03500625491142273,contact
-0.011293577030301094,net
0.000864653498865664,new
-0.056880928575992584,company
0.008789356797933578,theme
-0.000535066646989435,utm
-0.15059976279735565,local
0.06997130066156387,turbotax
-0.04190944880247116,portfolio
-0.007565935142338276,plus
0.016347521916031837,free
-0.049599044024944305,aspx
-0.0687934011220932,home
-0.056761402636766434,design
-0.009010222740471363,https
-0.023338327184319496,2015
-0.0070818206295371056,product
0.11080264300107956,intcmp
-0.03365840017795563,content
0.07688307762145996,solicitors
-0.004644004628062248,support
-0.04888579621911049,comments
-0.029898865148425102,media
-0.06751909852027893,edu
0.04440682753920555,adidas
-0.014629869721829891,events
-0.03834332153201103,sharer
-0.016040347516536713,info
-0.03888271376490593,nike
-0.0397973470389843,marketing
-0.007747354917228222,06
-0.012518515810370445,2014
-0.09509214758872986,seo
0.033029913902282715,title
-0.029310131445527077,people
0.011956400237977505,nz
1.0626099538058043e-06,team
0.011309165507555008,online
-0.029317131265997887,search
-0.11227262020111084,profile
-0.02812824212014675,products
-0.009628532454371452,resources
-0.003789432579651475,source
-0.031928788870573044,family
-0.06338566541671753,post
-0.03885325416922569,property
-0.03682733699679375,work
0.5505850911140442,akc
-0.02461225725710392,author
-0.025216413661837578,05
-0.020618794485926628,intent
-0.1184864267706871,true
-0.028754353523254395,login
0.0267008226364851,dinozoom
0.04464272782206535,text
0.005081644281744957,personal
-0.06828571110963821,20
-0.06908980011940002,10
-0.06577915698289871,chameleonwebservices
-0.018903862684965134,app
-0.04095514491200447,wp
0.02864874340593815,tweet
0.0510227344930172,gb
-0.008531570434570312,12
-0.16073410212993622,sage
-0.0986720398068428,walesonline
-0.009562741965055466,information
-0.05193011090159416,comment
-0.015767361968755722,max
-0.029283028095960617,air
-0.03961845114827156,management
0.0035531800240278244,employment
0.013589106500148773,fr
-0.02136724628508091,microsoft
-0.0067597306333482265,add
-0.1421680599451065,youtube
0.04719831794500351,11
-0.011358726769685745,articles
0.09242348372936249,bloomberg
0.028714876621961594,start
-0.0303720124065876,help
-0.002355020260438323,2013
-0.02854391559958458,01
0.046156056225299835,03
0.002917106030508876,tips
0.00860563199967146,accounting
-0.015640228986740112,policy
-0.4026855528354645,checker
-0.08192972838878632,1and1
-0.009094787761569023,planning
-0.17573365569114685,dlwordpress
-0.03786632791161537,commercial
-0.0275645162910223,service
-0.021548571065068245,privacy
-0.0033080601133406162,case
-0.052402254194021225,mini
-0.31119635701179504,uhy
0.523175835609436,d2l
-0.0013463147915899754,health
0.0006529822712764144,shareArticle
-0.058850765228271484,medium
-0.01855314150452614,article
-0.05533468723297119,solutions
-0.029723890125751495,04
-0.03305940702557564,nsw
-0.019422829151153564,es
0.04600764065980911,accountants
-0.03555828332901001,shop
-0.040142450481653214,02
-0.008859112858772278,social
-0.005707649048417807,09
0.004986220970749855,financial
-0.010550092905759811,centre
0.07806733250617981,80
0.5977346897125244,lesroches
0.05332072079181671,type
0.007323248777538538,training
-0.018963947892189026,software
0.03625217452645302,injury
0.001118512824177742,htm
0.025660239160060883,07
0.05067756399512291,claims
-0.00799530278891325,view
-0.04477398470044136,press
-0.056257378309965134,practice
0.004737206734716892,advice
0.000552236451767385,2C
-0.05366744473576546,digital
0.3374052941799164,ef
-0.1255125105381012,terms
-0.01563856191933155,site
-0.03314996883273125,account
-0.019034575670957565,store
-0.14566583931446075,pinterest
-0.015324603766202927,themes
0.1435324102640152,quickbooks
0.048231348395347595,care
-0.02737576700747013,personneltoday
-0.034137457609176636,video
0.008580204099416733,corporate
0.08169771730899811,proconnect
0.37906843423843384,seatons
0.046406157314777374,client
-0.07285979390144348,insurance
0.002391515765339136,office
0.004660730250179768,life
-0.0727277398109436,men
0.5592003464698792,swissmanda
0.012457090429961681,email
0.028440380468964577,08
-0.03370456397533417,pages
-0.044605985283851624,development
0.025252118706703186,status
-0.005329951643943787,images
-0.07787341624498367,project
0.36057332158088684,jefferies
-0.034214820712804794,download
-0.00657059857621789,default
-0.05360748618841171,st
0.5096375346183777,thecrowgroup
-0.06398565322160721,tumblr
0.043570514768362045,domdavis
-0.10000235587358475,replytocom
-0.027388539165258408,user
-0.011691592633724213,20the
-0.013890662230551243,eu
-0.009058757685124874,mobile
-0.050398193299770355,campaign
-0.11880698800086975,section
-0.12135787308216095,crunchwear
0.38706281781196594,lassaccounts
-0.06001508608460426,ac
-0.010798049159348011,get
0.02086767368018627,jordan
-0.04125726968050003,community
-0.10003332048654556,route
-0.05032854899764061,careers
0.04569616913795471,bbc
0.023443235084414482,jpg
0.06053302809596062,blogspot
-0.025413749739527702,wagga
0.3528863787651062,mittenclarke
0.007187856826931238,2012
0.44990503787994385,gannons
0.008565814234316349,action
-0.02514818124473095,one
0.0205092690885067,ie
-0.02135445363819599,year
0.19551916420459747,lincoln
-0.04068971052765846,feed
0.11334322392940521,ca
0.0736624151468277,divorce
9.003180457511917e-05,E2
-0.011859407648444176,security
-0.008569475263357162,data
0.46764716506004333,yourfbs
0.008701344951987267,dog
-0.08854499459266663,savvy
0.03660503029823303,taxprocenter
-0.013899343088269234,plugins
-0.11062180250883102,projects
-0.08666953444480896,instagram
-0.07730977237224579,form
-0.08405877649784088,cfm
-0.0046621644869446754,addtoany
-0.05298290774226189,linkurl
0.65975022315979,whittakerandco
-0.05299563333392143,linkname
-0.059568919241428375,boost
0.04053999483585358,accounts
-0.008678670041263103,companies
-0.061779603362083435,court
-0.008427473716437817,education
-0.06929844617843628,sectors
-0.06795001029968262,submit
-0.02779231034219265,map
-0.0009628382977098227,EWHERE
0.007024703081697226,hmrc
-0.053904108703136444,top
0.009282451122999191,hr
-0.09828793257474899,cn
-0.019072629511356354,apps
-0.07092954218387604,maps
-0.035525280982255936,26
-0.052878644317388535,clients
-0.10198912769556046,testimonials
-0.013559011742472649,vat
0.09348522871732712,small
-0.030914293602108955,money
0.8060826063156128,mcclearyaccountants
-0.16309437155723572,asp
-0.05432693287730217,private
-0.028732117265462875,government
-0.05365081503987312,go
-0.029732227325439453,posts
-0.020602382719516754,best
-0.0026170078199356794,details
-0.06869374215602875,blogger
-0.03463246673345566,london
-0.07207618653774261,time
-0.02949606068432331,finance
0.09344113618135452,editor
-0.001477393670938909,travel
-0.04052203893661499,professional
-0.051150500774383545,20to
-0.1270596981048584,whats
-0.09522360563278198,benefits
0.0011233058758080006,create
-0.016231199726462364,lawsociety
-0.06690649688243866,public
0.05371110141277313,25
-0.04192087799310684,sport
0.4796292185783386,hethertons
0.00360913947224617,2011
-0.001651601865887642,games
-0.006394181400537491,review
0.00017573968216311187,AE
-0.08782031387090683,za
-0.0453956164419651,pdf
-0.029526667669415474,businesses
-0.004582572262734175,pt
0.005310974083840847,wills
-0.0008094886434264481,0D
-0.008271233178675175,menu
-0.004902228247374296,payroll
-0.4581628143787384,capitalwebmarketing
0.4323016405105591,newnham
-0.008905526250600815,13
-0.0009755665087141097,smith
0.07384368032217026,20of
-0.0817994475364685,ipaddress
-0.0008772460278123617,blogID
0.009438090026378632,learning
-0.044820498675107956,jobs
-0.0015395503723993897,MBCHAE
0.012006145901978016,20and
-0.00022660006652586162,pageId
-0.0016246582381427288,postID
0.051151394844055176,self
-0.01912861317396164,cicm
-0.07262609899044037,15
0.4470657408237457,menzieslaw
-0.1412021964788437,ringroselaw
-0.038179051131010056,communities
-0.002469538478180766,day
-0.06380067765712738,international
-0.05894291400909424,research
0.1405036300420761,kluwermediationblog
0.0017804172821342945,update
-0.11033625900745392,photos
-0.1350281536579132,pl
-0.021130526438355446,staff
-0.02576593868434429,watch
0.016480624675750732,group
0.004086201079189777,use
-0.04272190108895302,job
0.020095057785511017,nationalarchives
-0.04616677388548851,gallery
-0.021352553740143776,pay
-0.008886258117854595,blogs
0.07537277787923813,pg
0.07200751453638077,uploads
-0.04469414800405502,customer
0.05425618961453438,accountancy
0.45557835698127747,zenlaw
-0.06389443576335907,studies
-0.006884198170155287,probate
-0.009572933427989483,income
-0.07686822861433029,accountancyage
-0.03688151016831398,cc
0.014697376638650894,technology
-0.005250887479633093,knowledge
0.011785838752985,event
0.025214234367012978,awards
0.08287101984024048,target
0.038780275732278824,global
0.018935713917016983,key
0.06246468797326088,states
-0.012855472974479198,charity
-0.0895024836063385,guide
-0.1161317229270935,redirect
