pages_crawled,total_reward,terminal_states
0,0,0
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,2
9,0,2
10,0,2
11,0,2
12,0,2
13,0,3
14,0,3
15,0,3
16,0,3
17,0,3
18,0,3
19,0,3
20,0,3
21,0,3
22,0,3
23,0,3
24,0,3
25,0,3
26,0,3
27,0,3
28,0,3
29,0,3
30,0,3
31,0,3
32,0,3
33,0,3
34,0,3
35,0,3
36,0,3
37,0,3
38,0,3
39,0,3
40,0,3
41,0,3
42,0,3
43,0,3
44,0,3
45,0,3
46,0,3
47,0,3
48,0,3
49,0,3
50,0,3
51,0,3
52,0,3
53,0,3
54,0,3
55,0,3
56,0,3
57,0,3
58,0,3
59,0,3
60,0,3
61,0,3
62,0,3
63,0,3
64,0,3
65,0,3
66,0,3
67,0,3
68,0,3
69,0,3
70,0,3
71,0,3
72,0,3
73,0,3
74,0,3
75,0,3
76,0,3
77,0,3
78,0,3
79,0,3
80,0,3
81,0,3
82,0,3
83,0,3
84,0,3
85,0,4
86,0,5
87,0,5
88,0,5
89,0,5
90,0,5
91,0,5
92,0,5
93,0,5
94,0,5
95,0,5
96,0,5
97,0,5
98,0,5
99,0,5
100,0,5
101,0,5
102,0,5
103,0,5
104,0,5
105,0,6
106,0,6
107,0,6
108,0,6
109,0,6
110,0,6
111,0,6
112,0,7
113,0,7
114,0,7
115,0,8
116,0,8
117,0,8
118,0,8
119,0,9
120,0,9
121,0,10
122,0,11
123,0,11
124,0,11
125,0,11
126,0,11
127,0,11
128,0,11
129,0,11
130,0,12
131,0,12
132,0,12
133,0,13
134,0,13
135,0,14
136,0,15
137,0,15
138,0,15
139,0,15
140,0,15
141,0,15
142,0,15
143,0,15
144,0,15
145,0,15
146,0,15
147,0,15
148,0,15
149,0,15
150,0,15
151,0,15
152,0,15
153,0,15
154,0,15
155,0,15
156,0,15
157,0,15
158,0,15
159,0,15
160,0,15
161,0,15
162,0,15
163,0,15
164,0,15
165,0,15
166,0,15
167,0,15
168,0,15
169,0,15
170,0,15
171,0,15
172,0,15
173,0,15
174,0,15
175,0,15
176,0,15
177,0,15
178,0,15
179,0,15
180,0,15
181,0,15
182,0,15
183,0,15
184,0,15
185,0,15
186,0,15
187,0,15
188,0,15
189,0,15
190,0,15
191,0,15
192,0,15
193,0,15
194,0,15
195,0,15
196,0,15
197,0,15
198,0,15
199,0,15
200,0,15
201,0,15
202,0,15
203,0,15
204,0,15
205,0,15
206,0,15
207,0,15
208,0,15
209,0,15
210,0,15
211,0,15
212,0,15
213,0,15
214,0,15
215,0,15
216,0,15
217,0,15
218,0,15
219,0,15
220,0,15
221,0,15
222,0,15
223,0,15
224,0,15
225,0,15
226,0,15
227,0,15
228,0,15
229,0,15
230,0,15
231,0,15
232,0,15
233,0,15
234,0,15
235,0,15
236,0,15
237,0,15
238,0,15
239,0,15
240,0,15
241,0,15
242,0,15
243,0,15
244,0,15
245,0,15
246,0,15
247,0,15
248,0,15
249,0,15
250,0,15
251,0,15
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,15
261,0,15
262,0,15
263,0,15
264,0,15
265,0,15
266,0,15
267,0,15
268,0,15
269,0,15
270,0,15
271,0,15
272,0,15
273,0,15
274,0,15
275,0,15
276,0,15
277,0,15
278,0,15
279,0,15
280,0,15
281,0,15
282,0,15
283,0,15
284,0,15
285,0,15
286,0,15
287,0,15
288,0,15
289,0,15
290,0,15
291,0,15
292,0,15
293,0,15
294,0,15
295,0,15
296,0,15
297,0,15
298,0,15
299,0,15
300,0,15
301,0,15
302,0,15
303,0,15
304,0,15
305,0,15
306,0,15
