pages_crawled,total_reward,terminal_states
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,1
6,0,1
7,0,1
8,0,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,2
14,1,3
15,1,3
16,1,3
17,1,4
18,2,4
19,3,4
20,3,4
21,3,4
22,3,4
23,3,4
24,3,4
25,3,5
26,3,5
27,3,5
28,3,6
29,4,6
30,4,7
31,5,7
32,5,7
33,5,7
34,5,7
35,5,7
36,5,7
37,5,7
38,5,7
39,5,7
40,5,7
41,5,8
42,5,8
43,5,8
44,5,8
45,5,8
46,5,9
47,6,9
48,6,9
49,6,9
50,6,9
51,6,9
52,6,9
53,6,9
54,6,9
55,6,9
56,6,9
57,6,9
58,6,9
59,6,9
60,6,9
61,6,9
62,6,9
63,6,9
64,6,9
65,6,9
66,6,9
67,6,9
68,6,9
69,6,9
70,6,9
71,6,9
72,6,9
73,6,9
74,6,9
75,6,9
76,6,9
77,6,9
78,6,9
79,6,9
80,6,9
81,6,9
82,6,9
83,6,9
84,6,9
85,6,9
86,6,9
87,6,9
88,6,9
89,6,9
90,6,9
91,6,9
92,6,9
93,6,9
94,6,9
95,6,9
96,6,9
97,6,9
98,6,9
99,6,9
100,6,10
101,6,10
102,6,10
103,6,10
104,6,10
105,6,10
106,6,10
107,6,10
108,6,10
109,6,10
110,6,10
111,6,10
112,6,10
113,6,10
114,6,10
115,6,11
116,6,11
117,6,11
118,6,11
119,6,11
120,6,11
121,6,11
122,6,11
123,6,11
124,6,11
125,6,11
126,6,11
127,6,11
128,6,11
129,6,11
130,6,11
131,6,11
132,6,11
133,6,11
134,6,11
135,6,12
136,7,12
137,7,12
138,7,12
139,7,12
140,7,12
141,7,13
142,7,14
143,8,14
144,8,14
145,8,14
146,8,14
147,8,14
148,8,14
149,8,14
150,8,14
151,8,14
152,8,14
153,8,14
154,8,14
155,8,14
156,8,15
157,9,15
158,9,16
159,9,16
160,9,16
161,9,16
162,9,16
163,9,17
164,9,18
165,10,18
166,10,18
167,10,18
168,10,18
169,11,18
170,11,19
171,11,19
172,12,19
173,12,20
174,12,20
175,12,20
176,12,21
177,12,21
178,12,21
179,12,21
180,12,21
181,12,21
182,12,21
183,12,21
184,12,21
185,12,21
186,12,22
187,13,22
188,13,22
189,13,22
190,13,22
191,13,22
192,13,22
193,13,22
194,13,22
195,13,22
196,13,22
197,13,22
198,13,22
199,13,22
200,13,22
201,13,22
202,13,23
203,13,24
204,14,24
205,15,24
206,15,24
207,15,24
208,15,24
209,15,24
210,15,24
211,15,24
212,15,25
213,15,25
214,16,25
215,16,25
216,16,25
217,16,25
218,16,25
219,16,25
220,16,25
221,16,25
222,16,25
223,16,25
224,16,25
225,16,25
226,16,25
227,16,25
228,16,25
229,16,25
230,16,25
231,16,25
232,16,25
233,16,26
234,17,26
235,18,26
236,18,26
237,18,26
238,18,26
239,18,27
240,18,27
241,18,27
242,18,27
243,18,27
244,18,27
245,18,27
246,18,28
247,18,28
248,18,28
249,18,28
250,18,29
251,18,29
252,18,29
253,18,29
254,18,30
255,18,30
256,18,30
257,19,30
258,19,30
259,19,30
260,19,30
261,19,30
262,19,30
263,19,30
264,19,30
265,19,30
266,19,30
267,19,30
268,19,30
269,19,31
270,19,31
271,19,31
272,19,31
273,19,31
274,19,31
275,19,31
276,19,31
277,19,31
278,19,31
279,19,31
280,19,31
281,19,31
282,19,31
283,19,31
284,19,32
285,19,32
286,19,32
287,19,32
288,19,32
289,19,32
290,19,32
291,19,32
292,19,32
293,19,32
294,19,32
295,19,32
296,19,33
297,19,33
298,19,33
299,19,33
300,19,33
301,19,33
302,19,33
303,19,34
304,19,34
305,20,34
306,20,34
307,20,34
308,20,34
309,20,34
310,20,34
311,20,34
312,20,34
313,20,34
314,20,34
315,20,34
316,20,34
317,20,34
318,20,34
319,20,34
320,20,34
321,20,34
322,20,34
323,20,34
324,20,34
325,20,35
326,20,35
327,20,35
328,20,35
329,20,35
330,20,35
331,20,35
332,20,35
333,20,35
334,20,35
335,20,35
336,20,35
337,20,35
338,20,35
339,20,35
340,20,35
341,20,35
342,20,35
343,20,35
344,20,35
345,20,35
346,20,35
347,20,36
348,20,36
349,20,36
350,20,36
351,20,36
352,21,36
353,21,37
354,22,37
355,22,38
356,23,38
357,24,38
358,24,38
359,24,38
360,24,38
361,24,38
362,24,38
363,24,38
364,24,38
365,24,38
366,24,38
367,24,39
368,24,39
369,24,40
370,24,40
371,24,40
372,24,40
373,24,40
374,24,40
375,24,40
376,24,40
377,24,40
378,24,40
379,24,41
380,25,41
381,25,42
382,25,42
383,25,42
384,25,42
385,25,42
386,25,42
387,25,42
388,25,42
389,25,42
390,25,42
391,25,42
392,25,42
393,25,43
394,25,43
395,25,43
396,25,43
397,25,43
398,25,43
399,25,44
400,25,44
401,25,44
402,25,44
403,25,44
404,25,44
405,25,44
406,25,44
407,25,44
408,25,44
409,25,44
410,25,44
411,25,44
412,25,44
413,25,44
414,25,44
415,25,44
416,26,44
417,26,44
418,26,44
419,26,44
420,26,44
421,26,44
422,26,45
423,26,45
424,26,45
425,26,45
426,26,45
427,26,45
428,26,45
429,26,45
430,26,45
431,26,45
432,26,45
433,26,45
434,26,45
435,26,45
436,26,45
437,26,45
438,26,45
439,26,45
440,26,45
441,26,45
442,26,46
443,26,46
444,26,46
445,26,47
446,26,47
447,26,47
448,26,48
449,26,48
450,26,48
451,26,49
452,26,49
453,26,49
454,26,49
455,26,49
456,26,49
457,26,50
458,26,50
459,26,50
460,26,50
461,26,50
462,26,51
463,26,51
464,26,51
465,27,51
466,28,51
467,28,51
468,28,51
469,28,52
470,28,52
471,28,52
472,28,53
473,28,53
474,28,53
475,28,53
476,28,53
477,28,53
478,28,54
479,28,54
480,28,54
481,28,54
482,28,54
483,28,55
484,28,55
485,29,55
486,29,55
487,29,55
488,29,55
489,29,55
490,29,55
491,29,56
492,29,56
493,29,56
494,29,56
495,30,56
496,30,56
497,30,56
498,30,56
499,30,56
500,30,56
501,30,56
502,30,56
503,30,57
504,30,57
505,30,57
506,30,57
507,30,57
508,30,57
509,30,57
510,30,57
511,30,57
512,30,57
513,30,58
514,31,58
515,31,58
516,31,58
517,31,58
518,31,58
519,31,58
520,31,58
521,31,59
522,31,59
523,31,59
524,31,59
525,31,59
526,31,59
527,31,59
528,31,59
529,31,59
530,31,59
531,31,59
532,31,59
533,31,59
534,31,59
535,31,59
536,31,59
537,31,59
538,31,59
539,31,59
540,31,59
541,31,59
542,31,59
543,31,59
544,31,59
545,31,59
546,31,59
547,31,59
548,31,59
549,31,59
550,31,59
551,31,59
552,31,59
553,31,59
554,31,59
555,31,59
556,31,59
557,31,59
558,31,59
559,31,59
560,31,59
561,31,59
562,31,59
563,31,59
564,31,59
565,31,59
566,31,59
567,31,59
568,31,59
569,31,59
