pages_crawled,total_reward,terminal_states
0,0,0
1,0,1
2,0,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,6
8,1,6
9,1,6
10,1,6
11,1,6
12,1,6
13,1,6
14,1,6
15,1,6
16,1,7
17,1,8
18,1,9
19,1,10
20,1,11
21,2,12
22,2,12
23,2,12
24,2,13
25,2,14
26,2,15
27,2,16
28,2,17
29,2,18
30,3,19
31,3,19
32,3,19
33,3,19
34,3,20
35,4,21
36,4,22
37,4,23
38,4,24
39,4,25
40,4,26
41,4,26
42,4,26
43,4,26
44,4,27
45,5,28
46,5,28
47,5,29
48,5,30
49,5,30
50,5,31
51,5,31
52,5,31
53,5,31
54,5,31
55,5,31
56,5,31
57,5,31
58,5,32
59,5,33
60,5,34
61,5,35
62,5,36
63,6,37
64,6,38
65,7,39
66,7,39
67,7,39
68,7,39
69,7,39
70,7,39
71,7,39
72,7,39
73,7,40
74,7,41
75,7,42
76,8,43
77,9,44
78,9,45
79,10,46
80,10,47
81,10,48
82,10,49
83,10,50
84,10,51
85,11,52
86,12,53
87,13,54
88,13,54
89,13,55
90,13,56
91,13,57
92,13,58
93,13,58
94,13,59
95,13,60
96,13,61
97,14,62
98,14,63
99,14,63
100,14,64
101,14,65
102,15,66
103,15,67
104,15,68
105,15,69
106,15,70
107,15,71
108,15,72
109,16,73
110,16,74
111,16,74
112,16,74
113,16,74
114,16,75
115,16,76
116,17,77
117,17,78
118,17,78
119,17,78
120,17,79
121,18,80
122,18,81
123,18,82
124,19,83
125,19,83
126,19,84
127,19,85
128,19,85
129,19,85
130,19,86
131,19,87
132,19,88
133,19,89
134,19,90
135,19,90
136,19,90
137,19,90
138,19,91
139,19,92
140,19,92
141,19,92
142,19,92
143,19,92
144,19,92
145,19,92
146,19,92
147,19,92
148,19,93
149,19,94
150,20,95
151,20,96
152,20,97
153,20,98
154,21,99
155,21,99
156,21,99
157,21,99
158,21,99
159,21,100
160,21,101
161,21,102
162,21,102
163,21,103
164,21,103
165,21,103
166,21,103
167,21,103
168,21,103
169,21,103
170,21,103
171,21,103
172,21,103
173,21,103
174,21,103
175,21,103
176,21,103
177,21,103
178,21,103
179,21,103
180,21,103
181,21,103
182,21,103
183,21,103
184,21,103
185,21,103
186,21,103
187,21,103
188,21,103
189,21,103
190,21,103
191,21,103
192,21,103
193,21,103
194,21,103
195,21,103
196,21,103
197,21,103
198,21,103
199,21,103
200,21,103
201,21,103
202,21,103
203,21,103
204,21,103
205,21,104
206,21,104
207,21,105
208,21,106
209,21,107
210,21,108
211,21,109
212,21,110
213,21,110
214,21,111
215,21,112
216,21,113
217,21,114
218,21,115
219,21,116
220,21,117
221,21,118
222,22,119
223,22,120
224,23,121
225,23,122
226,23,123
227,23,124
228,23,124
229,23,125
230,23,125
231,23,126
232,23,127
233,23,128
234,23,129
235,23,130
236,23,131
237,23,131
238,23,131
239,23,131
240,23,131
241,23,131
242,23,131
243,23,131
244,23,131
245,23,131
246,23,131
247,23,131
248,23,131
249,23,132
250,24,133
251,24,133
252,24,133
253,24,133
254,24,133
255,24,133
256,24,133
257,24,133
258,24,133
259,24,133
260,24,133
261,24,133
262,24,133
263,24,133
264,24,133
265,24,133
266,24,134
267,25,135
268,25,135
269,25,136
270,25,137
271,25,137
272,25,138
273,26,139
274,26,140
275,26,140
276,26,140
277,26,141
278,26,142
279,27,143
280,27,143
281,27,144
282,28,145
283,28,145
284,28,145
285,28,145
286,28,146
287,28,147
288,28,148
289,28,149
290,28,150
291,29,151
292,29,152
293,29,152
294,29,152
295,29,152
296,29,152
297,29,152
298,29,152
299,29,152
300,29,152
301,29,152
302,29,153
303,29,153
304,29,153
305,29,154
306,30,155
