pages_crawled,total_reward,terminal_states
0,0,0
1,0,0
2,1,0
3,2,0
4,2,1
5,2,1
6,2,1
7,2,1
8,2,2
9,3,2
10,4,2
11,4,2
12,4,2
13,4,2
14,4,2
15,4,2
16,4,2
17,4,2
18,4,2
19,4,2
20,4,3
21,5,3
22,5,3
23,5,3
24,5,3
25,5,3
26,5,3
27,5,3
28,5,3
29,5,3
30,5,3
31,5,3
32,5,3
33,5,3
34,5,3
35,5,4
36,6,4
37,7,4
38,7,4
39,7,4
40,7,4
41,7,4
42,7,4
43,7,4
44,7,4
45,7,4
46,7,4
47,7,4
48,7,4
49,7,4
50,7,5
51,7,5
52,7,5
53,7,5
54,7,5
55,7,5
56,7,5
57,7,5
58,8,5
59,8,5
60,8,5
61,8,5
62,8,5
63,8,5
64,8,5
65,8,5
66,8,5
67,8,5
68,8,5
69,8,5
70,8,5
71,8,5
72,8,5
73,8,5
74,8,5
75,8,5
76,8,5
77,8,6
78,9,6
79,10,6
80,11,6
81,11,6
82,11,6
83,11,6
84,11,6
85,11,6
86,11,6
87,11,6
88,11,6
89,11,6
90,11,6
91,11,7
92,11,7
93,11,7
94,11,8
95,12,8
96,12,8
97,12,8
98,12,8
99,12,8
100,12,8
101,12,8
102,12,8
103,12,8
104,12,8
105,12,8
106,12,8
107,12,8
108,12,8
109,12,8
110,12,8
111,12,8
112,12,8
113,12,8
114,12,8
115,12,8
116,12,8
117,12,8
118,12,8
119,12,8
120,12,8
121,12,8
122,12,8
123,12,8
124,12,8
125,12,8
126,12,8
127,12,8
128,12,8
129,12,8
130,12,8
131,12,8
132,12,8
133,12,8
134,12,8
135,12,8
136,12,8
137,12,8
138,12,8
139,12,8
140,12,8
141,12,8
142,12,9
143,12,9
144,12,9
145,12,9
146,12,9
147,12,9
148,12,9
149,12,9
150,12,10
151,12,10
152,12,10
153,12,11
154,12,11
155,12,11
156,12,12
157,12,12
158,12,12
159,12,12
160,12,13
161,12,14
162,12,14
163,12,14
164,12,14
165,12,14
166,12,14
167,12,14
168,12,14
169,12,14
170,12,14
171,12,14
172,12,14
173,12,14
174,12,14
175,12,14
176,12,14
177,12,14
178,12,14
179,12,14
180,12,14
181,12,14
182,12,14
183,12,14
184,12,14
185,12,14
186,12,14
187,12,15
188,13,15
189,13,15
190,13,15
191,13,15
192,13,15
193,13,15
194,13,15
195,13,15
196,13,15
197,13,15
198,13,15
199,13,16
200,13,16
201,13,16
202,13,16
203,13,17
204,13,17
205,13,17
206,13,18
207,13,18
208,13,18
209,13,18
210,13,18
211,13,19
212,13,19
213,13,19
214,13,19
215,13,19
216,13,19
217,13,19
218,13,19
219,13,20
220,14,20
221,14,20
222,14,20
223,14,20
224,14,20
225,14,20
226,14,20
227,14,21
228,14,22
229,15,22
230,15,22
231,15,22
232,15,22
233,15,22
234,16,22
235,17,22
236,18,22
237,18,22
238,18,23
239,18,23
240,18,23
241,18,24
242,18,24
243,18,24
244,18,24
245,18,24
246,18,24
247,18,24
248,18,25
249,18,25
250,18,25
251,18,25
252,18,25
253,18,25
254,18,25
255,18,25
256,18,25
257,18,26
258,18,27
259,18,27
260,18,27
261,18,27
262,18,27
263,18,27
264,19,27
265,19,28
266,20,28
267,21,28
268,21,29
269,21,29
270,21,29
271,21,29
272,21,29
273,21,29
274,21,29
275,21,30
276,21,30
277,21,30
278,21,31
279,22,31
280,22,31
281,22,31
282,22,31
283,22,32
284,23,32
285,23,32
286,23,33
287,23,33
288,24,33
289,24,33
290,24,33
291,24,33
292,24,33
293,24,33
294,24,33
295,24,33
296,24,34
297,25,34
298,25,34
299,25,34
300,25,34
301,25,34
302,25,34
303,25,34
304,25,34
305,25,34
306,25,34
307,25,34
308,25,34
309,25,34
310,25,34
311,25,34
312,25,34
313,25,34
314,25,34
315,25,34
316,25,34
317,25,34
318,25,34
319,25,34
320,25,35
321,25,35
322,25,35
323,25,35
324,25,35
325,25,35
326,25,35
327,25,35
328,25,36
329,25,36
330,25,36
331,25,36
332,25,36
333,25,37
334,25,37
335,25,37
336,25,37
337,25,37
338,25,37
339,25,37
340,25,37
341,25,37
342,25,37
343,25,37
344,25,37
345,25,37
346,25,37
347,25,37
348,25,37
349,25,37
350,26,37
351,26,37
352,26,37
353,26,37
354,26,37
355,26,37
356,26,37
357,26,37
358,26,38
359,26,38
360,26,38
361,26,38
362,26,38
363,26,38
364,26,39
365,26,40
366,26,40
367,26,41
368,27,41
369,27,41
370,27,41
371,27,41
372,27,42
373,27,42
374,27,42
375,27,42
376,27,43
377,27,43
378,27,43
379,27,43
380,27,43
381,27,43
382,27,43
383,27,43
384,27,43
385,27,43
386,27,43
387,27,43
388,27,43
389,27,43
390,27,43
391,27,44
392,27,44
393,27,44
394,27,45
395,27,45
396,27,46
397,27,46
398,27,46
399,27,46
400,27,46
401,27,47
402,27,47
403,27,47
404,27,47
405,27,47
406,27,47
407,27,47
408,27,47
409,27,47
410,27,48
411,27,48
412,27,48
413,27,48
414,27,48
415,27,48
416,27,48
417,27,48
418,27,48
419,27,49
420,27,49
421,27,49
422,27,49
423,27,49
424,27,49
425,27,50
426,28,50
427,29,50
428,30,50
429,30,51
430,30,51
431,31,51
432,31,51
433,31,51
434,31,51
435,31,51
436,31,51
437,31,51
438,31,51
439,31,52
440,31,52
441,31,52
442,31,52
443,31,53
444,31,53
445,31,53
446,31,53
447,31,53
448,31,53
449,31,53
450,31,53
451,31,53
452,31,53
453,31,53
454,32,53
455,32,53
456,32,53
457,32,53
458,32,54
459,32,54
460,32,54
461,32,54
462,33,54
463,33,54
464,33,54
465,33,55
466,34,55
467,34,55
468,35,55
469,36,55
470,36,56
471,36,57
472,36,57
473,36,57
474,36,57
475,36,57
476,36,57
477,36,57
478,36,57
479,36,57
480,36,57
481,36,57
482,36,57
483,36,57
484,36,57
485,36,57
486,36,57
487,36,57
488,36,57
489,36,57
490,36,58
491,37,58
492,38,58
493,39,58
494,40,58
495,41,58
496,41,58
497,41,58
498,41,58
499,41,59
500,41,59
501,41,59
502,41,59
503,41,59
504,41,59
505,41,59
506,41,59
507,41,60
508,42,60
509,42,60
510,42,60
511,42,60
512,42,60
513,42,60
514,42,60
515,42,60
516,42,61
517,42,61
518,42,61
519,42,62
520,42,62
521,42,62
522,42,62
523,42,62
524,42,62
525,42,63
526,43,63
527,44,63
528,44,63
529,44,63
530,44,63
531,44,63
532,44,63
533,44,63
534,44,64
535,44,65
536,45,65
537,45,65
538,45,65
539,45,65
540,45,65
541,45,65
542,45,66
543,46,66
544,46,66
545,47,66
546,47,66
547,47,66
548,47,66
549,47,67
550,48,67
551,48,67
552,48,67
553,48,67
554,48,68
555,48,68
556,48,68
557,48,68
558,48,68
559,48,68
560,48,68
561,48,68
562,48,68
563,48,68
564,48,68
565,48,68
566,48,68
567,48,68
568,48,68
569,48,68
