pages_crawled,total_reward,terminal_states
0,0,0
1,0,1
2,1,2
3,1,2
4,1,2
5,1,2
6,1,2
7,1,2
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,3
14,2,3
15,3,3
16,4,3
17,5,3
18,6,3
19,7,3
20,8,3
21,8,4
22,8,5
23,8,5
24,8,5
25,8,5
26,8,5
27,8,6
28,8,7
29,9,8
30,10,9
31,10,9
32,10,10
33,10,10
34,10,11
35,10,12
36,11,13
37,11,14
38,11,15
39,11,16
40,12,16
41,13,16
42,13,17
43,13,18
44,13,19
45,14,19
46,15,19
47,16,19
48,17,19
49,18,19
50,19,19
51,20,19
52,21,19
53,22,19
54,23,19
55,24,19
56,25,19
57,26,19
58,27,19
59,28,19
60,29,19
61,30,19
62,31,19
63,32,19
64,33,19
65,34,19
66,35,19
67,36,19
68,37,19
69,37,19
70,37,19
71,37,20
72,37,21
73,37,22
74,37,23
75,37,24
76,37,24
77,37,25
78,37,25
79,37,26
80,37,27
81,37,27
82,37,27
83,37,27
84,37,28
85,38,29
86,38,29
87,38,29
88,38,29
89,38,29
90,38,30
91,38,31
92,38,32
93,38,33
94,38,33
95,38,33
96,38,33
97,38,34
98,39,35
99,39,36
100,39,37
101,40,37
102,41,37
103,42,38
104,42,39
105,43,39
106,43,40
107,44,40
108,44,41
109,44,42
110,45,43
111,46,43
112,47,43
113,48,43
114,49,43
115,49,44
116,49,44
117,49,44
118,49,45
119,49,46
120,49,47
121,50,47
122,51,47
123,52,47
124,53,47
125,54,47
126,55,47
127,55,48
128,55,48
129,55,48
130,55,48
131,55,49
132,55,49
133,55,49
134,55,49
135,55,49
136,55,49
137,55,49
138,55,49
139,55,49
140,55,50
141,55,50
142,55,50
143,55,50
144,55,50
145,55,50
146,55,50
147,55,50
148,55,50
149,55,51
150,55,52
151,55,53
152,55,54
153,55,55
154,55,56
155,55,57
156,55,58
157,55,58
158,55,58
159,55,58
160,55,58
161,55,58
162,55,58
163,55,58
164,55,58
165,55,59
166,56,59
167,57,59
168,57,59
169,57,60
170,58,60
171,59,60
172,60,60
173,61,60
174,62,60
175,63,60
176,64,60
177,65,60
178,66,60
179,67,60
180,68,60
181,69,60
182,70,60
183,71,60
184,72,60
185,73,60
186,74,60
187,75,61
188,75,61
189,75,62
190,75,62
191,75,62
192,75,62
193,75,62
194,75,63
195,75,64
196,75,65
197,76,66
198,76,67
199,76,68
200,77,69
201,77,70
202,77,70
203,77,70
204,77,70
205,77,70
206,77,71
207,77,72
208,77,73
209,77,74
210,77,75
211,77,75
212,77,75
213,77,76
214,77,77
215,77,77
216,77,78
217,77,78
218,77,78
219,77,78
220,77,78
221,77,79
222,77,80
223,78,81
224,78,82
225,78,83
226,78,84
227,78,85
228,78,86
229,78,86
230,78,86
231,78,86
232,78,86
233,78,87
234,79,88
235,79,88
236,79,88
237,79,89
238,80,90
239,80,90
240,80,90
241,80,90
242,80,90
243,80,90
244,80,90
245,80,90
246,80,90
247,80,91
248,80,91
249,80,92
250,80,92
251,81,92
252,82,92
253,82,93
254,82,94
255,82,95
256,83,96
257,83,97
258,84,97
259,85,97
260,86,97
261,87,97
262,88,97
263,89,98
264,90,99
265,90,100
266,91,100
267,92,100
268,93,100
269,94,100
270,94,101
271,94,102
272,94,103
273,94,103
274,94,104
275,94,105
276,94,106
277,94,107
278,94,107
279,94,108
280,94,108
281,94,108
282,94,108
283,94,109
284,94,109
285,94,109
286,94,109
287,94,110
288,94,111
289,94,111
290,94,112
291,94,112
292,94,112
293,94,112
294,94,112
295,94,112
296,94,112
297,94,112
298,94,112
299,94,112
300,94,112
301,94,112
302,94,113
303,95,113
304,96,113
305,97,113
306,98,113
