pages_crawled,total_reward,terminal_states,nn_loss
1,0,0,0.00037643389077857137
2,0,0,0.06751228868961334
3,0,0,0.04641848802566528
4,0,0,0.05214251950383186
5,0,1,0.1985759288072586
6,0,1,0.1068241074681282
7,0,1,0.023726146668195724
8,0,1,0.00046942278277128935
9,0,1,0.0240095816552639
10,1,2,0.32135170698165894
11,1,2,0.058673471212387085
12,2,3,0.2304096817970276
13,2,3,0.22014369070529938
14,2,3,0.03386976942420006
15,2,3,1.3495256900787354
16,2,3,0.6104363799095154
17,2,3,0.007907232269644737
18,2,3,0.08695162832736969
19,2,3,0.31293800473213196
20,2,3,0.524086058139801
21,2,3,0.5596058964729309
22,2,3,0.32903018593788147
23,2,3,0.10906819254159927
24,2,3,0.023882174864411354
25,2,3,0.0021226273383945227
26,2,3,0.04303629323840141
27,2,3,0.28223878145217896
28,2,3,0.10352511703968048
29,2,3,0.19476638734340668
30,2,3,0.09616434574127197
31,2,3,0.49819281697273254
32,2,3,0.00012373040954116732
33,2,3,0.06199315935373306
34,2,3,0.011735375970602036
35,2,3,0.1719113141298294
36,2,3,0.12733393907546997
37,2,3,0.21782732009887695
38,2,3,0.2199363112449646
39,2,3,0.07952631264925003
40,2,3,0.03552788496017456
41,2,3,0.011491739191114902
42,2,3,0.018586549907922745
43,2,3,9.816855708777439e-06
44,2,3,0.04132795333862305
45,2,3,0.11667019873857498
46,2,3,0.031141357496380806
47,2,3,0.03569634258747101
48,2,3,0.021757807582616806
49,2,4,0.055022694170475006
50,2,4,0.0010245945304632187
51,2,4,0.004984982777386904
52,2,5,0.014831979759037495
53,2,6,0.01935616135597229
54,2,6,0.00012952362885698676
55,2,6,0.053067248314619064
56,2,6,4.6790304622845724e-05
57,2,6,0.015805574133992195
58,2,6,0.00038551996112801135
59,2,7,0.0009219025378115475
60,2,7,0.2050374448299408
61,2,7,0.004468086641281843
62,2,7,0.008647728711366653
63,2,8,0.42577552795410156
64,2,8,0.001001929398626089
65,2,8,0.01136022713035345
66,2,8,0.005623000208288431
67,2,9,0.2877222001552582
68,2,9,0.13960325717926025
69,2,9,0.1568976491689682
70,2,10,0.32294607162475586
71,2,10,0.0640532448887825
72,2,10,0.09723728895187378
73,2,10,0.7086690068244934
74,2,10,0.10794572532176971
75,2,10,0.02341075800359249
76,2,10,0.00027428619796410203
77,2,10,0.339554101228714
78,2,11,0.15511851012706757
79,3,12,0.2471095770597458
80,3,12,0.021472977474331856
81,3,12,0.08345980197191238
82,3,12,0.01929805614054203
83,3,12,0.0038970671594142914
84,3,12,0.0003534095885697752
85,3,12,0.0037125179078429937
86,3,12,0.0003697248175740242
87,3,12,0.013658362440764904
88,3,12,0.0014839968644082546
89,3,12,0.004343254491686821
90,3,12,0.014035187661647797
91,3,12,0.027897734194993973
92,3,12,0.0036238119937479496
93,3,12,0.27923673391342163
94,3,12,0.007317551411688328
95,3,12,0.2076094001531601
96,3,12,0.1737128645181656
97,3,12,0.0005280520999804139
98,3,12,0.00854829978197813
99,3,12,0.07830005139112473
100,3,12,0.40715929865837097
101,3,12,0.17792873084545135
102,3,12,0.1888432800769806
103,3,12,0.04014744982123375
104,3,12,0.04649592563509941
105,3,12,0.027419693768024445
106,3,12,0.00766841322183609
107,3,12,0.016712868586182594
108,3,12,0.010270586237311363
109,3,12,0.0034100604243576527
110,3,12,0.0013671633787453175
111,3,12,0.33549776673316956
112,3,13,0.2520862817764282
113,4,14,0.3638008236885071
114,5,15,0.7794151306152344
115,6,16,0.21568268537521362
116,6,16,0.010667657479643822
117,6,16,0.06530515849590302
118,6,17,0.10800935328006744
119,6,17,2.0469281673431396
120,6,17,0.0016006393125280738
121,6,17,0.025259623304009438
122,6,17,0.033800989389419556
123,6,17,0.012532872147858143
124,6,17,0.007150180172175169
125,6,17,0.006415944546461105
126,6,17,0.05798570066690445
127,6,18,1.7753758430480957
128,6,18,0.016046253964304924
129,6,18,0.02151651307940483
130,6,18,0.07705165445804596
131,6,18,0.01872965134680271
132,6,19,6.300186634063721
133,7,20,0.45127180218696594
